​​金融新闻来源分类,简介​​,举例​​,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,中国证券报·中证网​​（新华社旗下）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,人民日报,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​证券时报​​（人民日报社主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​上海证券报​​（新华社主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,华夏时报​​（中国残联主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​中国基金报​​（新华社旗下）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​金融时报​​（中国人民银行主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​第一财经​​（上海广播电视台旗下，省级官方背景）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​新华财经​​（新华社旗下）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​中国网财经​​（国务院新闻办主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​中国新闻网（中新网）​​（中国新闻社主办）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​环球网​​（人民日报社旗下）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,中国经营报​​（中国社会科学院主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,消费日报​​（中国轻工业联合会主管）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,​​绍兴发布​​（绍兴市政府官方账号）,,
官方媒体,由政府、国家通讯社、党报或官方机构主办，内容审核严格，公信力最高。,中国财富传媒集团官方账号​​（新华社旗下）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,财联社​​（快速财经资讯）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,证券日报（需要与证券时报区分开来）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​界面新闻​​（深度商业报道）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​每日经济新闻​​（综合财经媒体）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,澎湃新闻（互联网新闻媒体）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​华尔街见闻快讯​​（全球市场动态）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​和讯网​​（老牌财经门户）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​蓝鲸新闻​​（商业财经媒体）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​证券市场周刊​​（行业研究）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​投资者网​​（上市公司报道）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,科创板日报（专注新兴产业与资本）,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,同花顺财经,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,21世纪经济报道,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,网易财经,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,新浪财经,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,潇湘晨报,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,香港经济日报,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,长江商报,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,市值风云,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,时代财经,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​智通财经,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​IT之家,,
财经媒体/商业媒体,市场化运作的财经媒体，内容专业但可能受商业利益影响，需结合多源验证。,​​格隆汇,,
